"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Insecta","Lepidoptera","Papilionidae","Papilio","CN","Zhejiang",2005-08-03 18:32:49,2005,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.096564,29.752049
"Insecta","Megaloptera","Corydalidae","Neochauliodes","CN","Zhejiang",2005-06-08 00:54:00,2005,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.817177,29.46123
"Insecta","Lepidoptera","Thyrididae","Pyrinioides","CN","Zhejiang",2011-07-24 23:42:00,2011,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.793037,29.808543
"Insecta","Lepidoptera","Sphingidae","Acherontia","CN","Zhejiang",2006-08-12 06:11:00,2006,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.086159,29.723651
"Insecta","Odonata","Gomphidae","Sieboldius","CN","Zhejiang",2019-06-14 12:15:00,2019,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.86234,29.840393
"Aves","Charadriiformes","Laridae","Thalasseus","CN","Zhejiang",2015-06-28 10:18:00,2015,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",122.0271,29.587562
"Aves","Charadriiformes","Laridae","Thalasseus","CN","Zhejiang",2013-08-04 09:55:00,2013,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",122.164161,29.571201
"Amphibia","Anura","Ranidae","Odorrana","CN","Zhejiang",2015-06-30 21:20:00,2015,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.315632,29.767572
"Aves","Anseriformes","Anatidae","Aythya","CN","Zhejiang",2010-12-18 08:39:00,2010,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.153168,30.334353
"Aves","Anseriformes","Anatidae","Anas","CN","Zhejiang",2011-04-17 13:12:00,2011,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.164608,30.313913
"Magnoliopsida","Fabales","Fabaceae","Sesbania","CN","Zhejiang",2009-08-26 15:59:00,2009,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.164608,30.313913
"Insecta","Hemiptera","Scutelleridae","Cantao","CN","Zhejiang",2021-10-01 14:32:00,2021,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.259762,29.757897
"Insecta","Lepidoptera","Papilionidae","Papilio","CN","Zhejiang",2008-08-02 08:33:39,2008,"25","city_specific","df508e20d4ec4cb8acda2938003d672a","TRUE","CHN-Ningbo","Ningbo","CHN","CH",121.253574,29.796599
