"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Reptilia","Squamata","Chamaeleonidae","Trioceros","RW","Umujyi wa Kigali",2020-11-19 09:51:52,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.073565,-1.975038
"Aves","Accipitriformes","Accipitridae","Milvus","RW","Umujyi wa Kigali",2020-02-17 16:23:30,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.102,-1.954681
"Mammalia","Chiroptera","Pteropodidae","Eidolon","RW","Umujyi wa Kigali",2017-06-13 15:06:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.122981,-1.925373
"Aves","Accipitriformes","Accipitridae","Milvus","RW","Umujyi wa Kigali",2016-08-12 13:49:00,2016,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.069156,-1.94823
"Magnoliopsida","Gentianales","Apocynaceae","Catharanthus","RW","Umujyi wa Kigali",2019-09-18 17:58:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.097829,-1.955594
"Mammalia","Chiroptera","Pteropodidae","Eidolon","RW","Umujyi wa Kigali",2018-03-19 15:59:00,2018,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.122361,-1.980231
"Aves","Accipitriformes","Accipitridae","Buteo","RW","Umujyi wa Kigali",2019-12-11 13:06:00,2019,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.063928,-1.918013
"Mammalia","Chiroptera","Pteropodidae","Eidolon","RW","Umujyi wa Kigali",2017-09-11 15:00:00,2017,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.154448,-1.861566
"Aves","Passeriformes","Fringillidae","Crithagra","RW","Umujyi wa Kigali",2020-10-29 12:19:31,2020,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.082703,-1.952556
"Magnoliopsida","Laurales","Lauraceae","Persea","RW","Umujyi wa Kigali",2018-02-11 12:43:00,2018,"9","cities360","bdc6b3c0ce5c47db8afacf1b83df7e40","TRUE","RWA-Kigali","Kigali","RWA","RW",30.08769,-1.945242
