,geo_id,geo_level,geo_name,geo_parent_name,LND-6
0,ARG-Mendoza_ADM-3-union_1,ADM-3-union,ARG-Mendoza,ARG-Mendoza,0.0526618505936339
1,ARG-Mendoza_ADM-3_1,ADM-3,Distrito Las Barrancas,ARG-Mendoza,0.0
2,ARG-Mendoza_ADM-3_2,ADM-3,Distrito San Roque,ARG-Mendoza,0.0
3,ARG-Mendoza_ADM-3_3,ADM-3,Distrito Fray Luis Beltrán,ARG-Mendoza,0.0
4,ARG-Mendoza_ADM-3_4,ADM-3,Distrito Rodeo del Medio,ARG-Mendoza,0.0
5,ARG-Mendoza_ADM-3_5,ADM-3,Distrito Cruz de Piedra,ARG-Mendoza,0.0
6,ARG-Mendoza_ADM-3_6,ADM-3,Distrito Lunlunta,ARG-Mendoza,0.0
7,ARG-Mendoza_ADM-3_7,ADM-3,Distrito Ciudad de Luján de Cuyo,ARG-Mendoza,0.0
8,ARG-Mendoza_ADM-3_8,ADM-3,Distrito Perdriel,ARG-Mendoza,0.0
9,ARG-Mendoza_ADM-3_9,ADM-3,Distrito El Carrizal,ARG-Mendoza,0.0
10,ARG-Mendoza_ADM-3_10,ADM-3,Distrito Ugarteche,ARG-Mendoza,0.0
11,ARG-Mendoza_ADM-3_11,ADM-3,Distrito Agrelo,ARG-Mendoza,0.0
12,ARG-Mendoza_ADM-3_12,ADM-3,Distrito General Ortega,ARG-Mendoza,0.0
13,ARG-Mendoza_ADM-3_13,ADM-3,Distrito Coquimbito,ARG-Mendoza,0.0
14,ARG-Mendoza_ADM-3_14,ADM-3,Distrito Luzuriaga,ARG-Mendoza,0.0
15,ARG-Mendoza_ADM-3_15,ADM-3,Distrito Gutiérrez,ARG-Mendoza,0.0
16,ARG-Mendoza_ADM-3_16,ADM-3,Distrito Ciudad de Maipú,ARG-Mendoza,0.0
17,ARG-Mendoza_ADM-3_17,ADM-3,Distrito Russell,ARG-Mendoza,0.0
18,ARG-Mendoza_ADM-3_18,ADM-3,Distrito Kilómetro 8,ARG-Mendoza,0.0
19,ARG-Mendoza_ADM-3_19,ADM-3,Distrito La Primavera,ARG-Mendoza,0.0
20,ARG-Mendoza_ADM-3_20,ADM-3,Distrito Los Corralitos,ARG-Mendoza,0.0
21,ARG-Mendoza_ADM-3_21,ADM-3,Distrito Puente de Hierro,ARG-Mendoza,0.0
22,ARG-Mendoza_ADM-3_22,ADM-3,Distrito Colonia Segovia,ARG-Mendoza,0.0
