"","name","year","Urban","Non Urban"
"1","1","2016",58.11,41.89
"2","1","2021",61.53,38.47
"3","2","2016",81.68,18.32
"4","2","2021",88.25,11.75
"5","3","2016",88.68,11.32
"6","3","2021",90.97,9.03
"7","4","2016",85.48,14.52
"8","4","2021",85.81,14.19
"9","5","2016",79.94,20.06
"10","5","2021",84.82,15.18
"11","7","2016",69.45,30.55
"12","7","2021",73.6,26.4
"13","8","2016",64.32,35.68
"14","8","2021",83.65,16.35
"15","9","2016",60.6,39.4
"16","9","2021",73.51,26.49
"17","10","2016",61.72,38.28
"18","10","2021",66.21,33.79
"19","11","2016",55.77,44.23
"20","11","2021",61.43,38.57
"21","6","2016",82.35,17.65
"22","6","2021",84.45,15.55
